file_name,bbox,category_id
000001.jpg,"[840.0, 0.0, 176.0, 124.0]",4
000001.jpg,"[612.0, 306.0, 383.0, 397.0]",2
000001.jpg,"[990.92, 551.0, 105.00000000000011, 186.0]",4
000002.jpg,"[1000.0, 614.0, 98.0, 178.0]",4
000002.jpg,"[605.0, 358.0, 402.0, 409.0]",2
000002.jpg,"[838.0, 0.0, 164.0, 184.0]",4
000004.jpg,"[1002.0, 728.0, 91.0, 178.0]",4
000004.jpg,"[618.0, 489.0, 377.0, 387.0]",2
000004.jpg,"[822.0, 0.0, 197.0, 285.0]",4
000005.jpg,"[1003.0, 789.0, 89.0, 173.0]",4
000005.jpg,"[616.0, 546.0, 379.0, 390.0]",2
000005.jpg,"[808.0, 0.0, 219.0, 348.0]",4
000007.jpg,"[999.0, 906.0, 105.0, 186.0]",4
000007.jpg,"[770.0, 0.0, 235.0, 459.0]",4
000007.jpg,"[618.0, 668.0, 376.0, 390.0]",2
000008.jpg,"[1001.0, 967.0, 102.0, 183.0]",4
000008.jpg,"[768.0, 0.0, 243.0, 509.0]",4
000008.jpg,"[617.0, 732.0, 372.0, 378.0]",2
000009.jpg,"[1001.0, 1027.0, 104.0, 183.0]",4
000009.jpg,"[744.0, 25.0, 264.0, 540.0]",4
000009.jpg,"[755.0, 0.0, 149.0, 40.0]",10
000009.jpg,"[617.0, 791.0, 372.0, 379.0]",2
000010.jpg,"[999.0, 1091.0, 108.0, 174.0]",4
000010.jpg,"[619.0, 851.0, 373.0, 381.0]",2
000010.jpg,"[710.0, 37.0, 184.0, 219.0]",10
000010.jpg,"[741.0, 90.0, 230.0, 533.0]",4
000011.jpg,"[999.0, 1150.0, 109.0, 175.0]",4
000011.jpg,"[618.0, 910.0, 374.0, 382.0]",2
000011.jpg,"[746.0, 142.0, 232.0, 539.0]",4
000011.jpg,"[686.0, 193.0, 169.0, 271.0]",10
000012.jpg,"[1000.0, 1210.0, 109.0, 175.0]",4
000012.jpg,"[618.0, 970.0, 374.0, 382.0]",2
000012.jpg,"[687.0, 346.0, 168.0, 230.0]",10
000012.jpg,"[745.0, 205.0, 241.0, 542.0]",4
000014.jpg,"[1000.0, 1329.0, 104.0, 156.0]",4
000014.jpg,"[696.0, 569.0, 191.0, 199.0]",10
000014.jpg,"[780.0, 331.0, 243.0, 555.0]",4
000014.jpg,"[621.0, 1088.0, 370.0, 384.0]",2
000015.jpg,"[1000.0, 1389.0, 104.0, 96.0]",4
000015.jpg,"[702.0, 660.0, 195.0, 215.0]",10
000015.jpg,"[621.0, 1147.0, 370.0, 338.0]",2
000015.jpg,"[797.0, 397.0, 244.0, 552.0]",4
000017.jpg,"[702.0, 824.0, 182.0, 267.0]",10
000017.jpg,"[609.0, 1257.0, 344.0, 228.0]",2
000017.jpg,"[991.0, 1445.0, 109.0, 40.0]",4
000017.jpg,"[861.0, 522.0, 229.0, 575.0]",4
000018.jpg,"[709.0, 888.0, 189.0, 285.0]",10
000018.jpg,"[881.0, 579.0, 225.0, 572.0]",4
000018.jpg,"[613.0, 1322.0, 244.0, 163.0]",2
000020.jpg,"[662.0, 1420.0, 157.0, 65.0]",2
000020.jpg,"[719.0, 1002.0, 182.0, 289.0]",10
000020.jpg,"[920.0, 707.0, 213.0, 566.0]",4
000021.jpg,"[662.0, 1420.0, 157.0, 65.0]",2
000021.jpg,"[929.0, 773.0, 218.0, 570.0]",4
000021.jpg,"[707.0, 1064.0, 187.0, 287.0]",10
000023.jpg,"[715.0, 1184.0, 185.0, 284.0]",10
000023.jpg,"[953.0, 904.0, 219.0, 564.0]",4
000024.jpg,"[976.0, 964.0, 215.0, 521.0]",4
000024.jpg,"[720.0, 1246.0, 181.0, 239.0]",10
000026.jpg,"[1030.0, 1089.0, 214.0, 396.0]",4
000026.jpg,"[697.0, 1375.0, 204.0, 110.0]",10
000027.jpg,"[465.0, 0.0, 108.0, 73.0]",1
000027.jpg,"[721.0, 1436.0, 178.0, 49.0]",10
000027.jpg,"[1053.0, 1151.0, 211.0, 334.0]",4
000028.jpg,"[721.0, 1436.0, 178.0, 49.0]",10
000028.jpg,"[424.0, 0.0, 160.0, 137.0]",1
000028.jpg,"[1097.0, 1218.0, 178.0, 267.0]",4
000029.jpg,"[1098.0, 1281.0, 188.0, 204.0]",4
000029.jpg,"[381.0, 0.0, 196.0, 196.0]",1
000029.jpg,"[835.0, 0.0, 222.0, 50.0]",2
000031.jpg,"[1144.0, 1400.0, 156.0, 85.0]",4
000031.jpg,"[336.0, 0.0, 223.0, 304.0]",1
000031.jpg,"[737.0, 0.0, 383.0, 171.0]",2
000032.jpg,"[1144.0, 1400.0, 156.0, 85.0]",4
000032.jpg,"[328.0, 0.0, 252.0, 369.0]",1
000032.jpg,"[733.0, 3.0, 388.0, 225.0]",2
000035.jpg,"[750.0, 0.0, 279.0, 148.0]",4
000035.jpg,"[325.0, 108.0, 252.0, 443.0]",1
000035.jpg,"[734.0, 158.0, 390.0, 234.0]",2
000036.jpg,"[328.0, 160.0, 243.0, 454.0]",1
000036.jpg,"[739.0, 214.0, 405.0, 243.0]",2
000036.jpg,"[767.0, 0.0, 361.0, 238.0]",4
000038.jpg,"[334.0, 283.0, 244.0, 444.0]",1
000038.jpg,"[789.0, 0.0, 427.0, 377.0]",4
000038.jpg,"[744.0, 338.0, 388.0, 251.0]",2
